,title, salary, cop_name, cop_info, exprence, tags, welfare
10, Shenzhen · Longgang District · Bantian, 15-30K, Chinasoft International," Computer software has been listed for more than 10,000 people", Unlimited undergraduate experience, Linux,"Free shuttle bus, holiday benefits, year-end bonus, afternoon tea with snacks, five social insurances and one housing fund, overtime allowance, regular medical examination, employee travel, paid annual leave, meal allowance"
11, Beijing Chaoyang District Yansha, 65-70K 14 salary, FreeWheel, The Internet has listed 500-999 people, 5-10 years undergraduate, architect," Transportation allowance, regular physical examination, five insurances and one housing fund, stock options, employee travel, meal allowance, communication allowance, free shuttle bus, year-end bonus, overtime allowance, holiday benefits, afternoon tea with snacks, paid annual leave, supplementary medical insurance, and meals"
12, Nanjing·Yuhuatai District·Software Avenue, 20-40K 16 salary," Glory Terminal Co., Ltd."," Consumer electronics do not need to finance more than 10,000 people", 1-3 years undergraduate, c++," Five insurances and one housing fund, year-end bonus, communication subsidy, stock options, regular physical examination, afternoon tea with snacks, holiday benefits, free shuttle bus, overtime allowance, supplementary medical insurance, paid annual leave"
13, Nanjing·Yuhuatai District·Tiexin Bridge, 12-24K·13 Salary, Runhe software," More than 10,000 people have been listed on the mobile Internet", 1-3 years undergraduate, Linux,"Overtime allowance, stock option, meal allowance, snack afternoon tea, paid annual leave, regular physical examination, five social insurances and one housing fund, communication allowance, employee travel, transportation allowance, holiday benefits, year-end bonus"
14, Tianjin·Nankai District·Haiguang Temple, 15-20K, Zhuo Zhuhui, Computer software A round 100-499 people, 3-5 years undergraduate, c++," Stock options, paid annual leave, five insurances and one housing fund, employee travel, salary increase, year-end bonus"
15, Beijing · Daxing District · Yizhuang, 20-40K, scouring waste, Internet unfinanced 20-99 people, 3-5 years undergraduate, QT interface," Paid annual leave, holiday benefits, five social insurances and one housing fund"
16, Guangzhou·Tianhe District·Fashion Tianhe, 18-25K, Pole 3D, Computer Services Unfinanced 1000-9999 People, On-campus/Fresh Master, data structure," Inclusive food, regular physical examination, five insurances and one housing fund, afternoon tea with snacks, free shuttle bus, employee travel, holiday benefits, paid annual leave"
17," Beijing, Haidian District, Shangdi", 20-30K, Dan Hua Hao Bo, Electricity/heat/gas/water conservancy does not require financing 100-499 people, Experience is not limited to college, c++,"Paid annual leave, boss red envelopes, employee travel, communication subsidies, five social insurances and one housing fund, holiday benefits, regular medical examinations, transportation subsidies, meal subsidies"
18, Suzhou, 14-20K·13 Salary, Yue spectrum, Electronics/semiconductor/integrated circuit unfinanced 20-99 people, Unlimited undergraduate experience, Python," Holiday benefits, five social insurances and one housing fund, meal allowance, paid annual leave, year-end bonus, afternoon tea with snacks"
19, Suzhou · Suzhou Industrial Park · Workshop, 15-25K, Suzhou Jinruiyang, Computer software unfinanced 100-499 people, 3-5 years undergraduate, c++," Employee travel, year-end bonus, afternoon tea with snacks, five insurances and one housing fund, stock options, regular medical examination, paid annual leave, meal allowance, holiday benefits"
20, Foshan·Nanhai District·Yanbu, 5-10K," Create a new style of morality, intellectual and physical activities", Culture/Sports/Recreation 20-99 people, Unlimited undergraduate experience, Backend development,
21, Beijing·Chaoyang District·Wangjing, 30-60K 16 salary, Gaode map, 1000-9999 people have been listed on the Internet, 3-5 years undergraduate, c++,"Year-end bonus, stock options, holiday benefits, meal allowance, supplementary medical insurance, employee travel, transportation allowance, free shuttle bus, paid annual leave, regular medical examination, five insurances and one housing fund"
22, Chengdu·Pidu District·High-tech West, 15-30K, Huawei," Computer software does not require financing for more than 10,000 people", 1-3 years undergraduate, Linux," Holiday benefits, meal allowance, afternoon tea with snacks, year-end bonus, regular physical examination, overtime allowance, supplementary medical insurance, stock options, employee travel, five insurances and one housing fund"
23, Shanghai·Yangpu District·East Bund, 15-25K 13 salary, Wisdom and Wisdom, Computer software A round 20-99 people, Unlimited undergraduate experience, c++," Regular physical examination, holiday benefits, paid annual leave, five insurances and one housing fund, year-end bonus, stock options"
24, Beijing·Haidian District·Huoying, 14-24K·13 Salary, cnki.net, Internet does not need financing 1000-9999 people, 1-3 years undergraduate, c++,"Employee travel, transportation subsidy, communication subsidy, meal subsidy, employee dormitory, holiday benefits, free shuttle bus, afternoon tea with snacks, regular physical examination, corporate annuity, food package, year-end bonus, paid annual leave, supplementary medical insurance, stock options, five insurances one gold"
25," Beijing, Haidian District, Zhongguancun", 12-24K," Institute of Software, Chinese Academy of Sciences", Computer software does not require financing 1000-9999 people, 1-3 years undergraduate, QT," Five insurances and one housing fund, year-end bonus, paid annual leave, holiday benefits, regular physical examination"
26, Shanghai·Pudong New Area·Yangjing, 15-25K 13 salary, Optical Technology, Electronics/semiconductor/integrated circuit C round 100-499 people, 1-3 years undergraduate, c++," Meal supplements, stock options, year-end bonuses, regular physical examinations, afternoon tea with snacks, holiday benefits, five social insurances and one housing fund, paid annual leave, employee travel"
27, Shanghai·Pudong New Area·Zhangjiang, 25-50K 16 salary, Alibaba Group," More than 10,000 people have been listed on the Internet", 3-5 years Master, QT,"Staff travel, holiday benefits, supplementary medical insurance, afternoon tea with snacks, year-end bonus, five insurances and one housing fund, stock options, free shuttle bus, transportation allowance, meal allowance"
28, Beijing·Chaoyang District·Wangjing, 20-40K 14 salary, Cloud for the first technology, Enterprise service A round 100-499 people, 3-5 years undergraduate, Windows," Year-end bonus, communication subsidy, stock options, holiday benefits, regular physical examination, five social insurances and one housing fund, supplementary medical insurance, transportation allowance, paid annual leave"
29, Shenzhen·Baoan District·Xixiang, 15-30K, Vision Smart, Computer software A round 20-99 people, Undergraduate within 1 year, data structure," Paid annual leave, regular physical examination, stock options, employee travel, afternoon tea with snacks, five insurances and one housing fund, year-end bonus, supplementary medical insurance, holiday benefits"
30, Shanghai·Changning District·Xinhua Road, 15-25K, Taotu New Energy Technology, New energy does not need financing 1000-9999 people, 3-5 years undergraduate, data structure,"Paid annual leave, communication allowance, employee travel, holiday benefits, afternoon tea with snacks, five social insurances and one housing fund, meal allowance, supplementary medical insurance, year-end bonus, regular physical examination"
31, Beijing·Haidian District·Huoying, 14-24K·13 Salary, cnki.net, Internet does not need financing 1000-9999 people, 1-3 years undergraduate, c++," Employee travel, transportation subsidy, communication subsidy, meal subsidy, employee dormitory, holiday benefits, free shuttle bus, afternoon tea with snacks, regular physical examination, corporate annuity, food package, year-end bonus, paid annual leave, supplementary medical insurance, stock options, five insurances one gold"
32, Beijing·Chaoyang District·Wangjing, 20-40K 14 salary, Cloud for the first technology, Enterprise service A round 100-499 people, 3-5 years undergraduate, Windows," Year-end bonus, communication subsidy, stock options, holiday benefits, regular physical examination, five social insurances and one housing fund, supplementary medical insurance, transportation allowance, paid annual leave"
33, Shenzhen·Baoan District·Xixiang, 15-30K, Vision Smart, Computer software A round 20-99 people, Undergraduate within 1 year, data structure,"Paid annual leave, regular physical examination, stock options, employee travel, afternoon tea with snacks, five insurances and one housing fund, year-end bonus, supplementary medical insurance, holiday benefits"
34," Beijing, Haidian District, Wudaokou", 30-60K 15 salary, Si Nian Zhi Jia, Computer software A round 100-499 people, 3-5 years undergraduate, Network protocol," Stock options, regular physical examination, taxi at night, year-end bonus, meal allowance, paid sick leave, afternoon tea with snacks, five social insurances and one housing fund, employee travel, paid annual leave, supplementary medical insurance, holiday benefits"
35, Shanghai·Huangpu District·People's Square, 25-35K, Thundersoft, Computer software has been listed 1000-9999 people, 3-5 years undergraduate, Linux," Stock options, regular physical examination, paid annual leave, housing allowance, overtime allowance, full attendance bonus, five social insurances and one housing fund, year-end bonus, meal allowance, holiday benefits, employee travel, transportation allowance"
36," Dalian, Ganjingzi District, Software Park", 9-14K, Jiayou Software, Computer software unfinanced 100-499 people, 1-3 years of education is not limited, Shell,"Five social insurances and one housing fund, year-end bonus, paid annual leave, regular team building, overtime allowance, afternoon tea with snacks, supplementary medical insurance, employee travel, holiday benefits, regular physical examination"
37, Nanjing, 15-25K, Hengge Technology, Computer software unfinanced 100-499 people, 1-3 years college, QT," Five insurances and one housing fund, regular physical examination, afternoon tea with snacks, holiday benefits, full attendance bonus, paid annual leave, employee travel, overtime allowance, supplementary medical insurance"
38, Chengdu·Wuhou District·New Convention and Exhibition Center, 15-25K 13 salary, Yunteng Future, Computer services do not require financing for 100-499 people, 5-10 years undergraduate, QT," Paid annual leave, five social insurances and one housing fund, afternoon tea with snacks, holiday benefits, full salary during the probationary period, flexible work"
39, Shenzhen · Bao'an District · Fuyong, 12-20K·14 salary, Mason Electronics, Mechanical equipment / electromechanical / heavy industry has been listed 100-499 people, 1-3 years undergraduate, c++," Overtime allowance, supplementary medical insurance, free shuttle bus, holiday benefits, afternoon tea with snacks, meal allowance, paid annual leave, accommodation, employee travel, five insurances and one housing fund, year-end bonus, transportation allowance, regular medical examination"
40,Hefei · Shushan District · Economic Development Zone, 12-20K, Pengwu Intelligence, Computer software angel wheel 20-99 people, 1-3 years undergraduate, Network protocol," Year-end bonus, five insurances and one housing fund, paid annual leave, holiday benefits"
41," Beijing, Haidian District, Zhongguancun", 50-70K 15 salary, today's headlines," Mobile Internet D round and above more than 10,000 people", 5-10 years undergraduate, Python," Regular physical examination, overtime allowance, supplementary medical insurance, communication allowance, paid annual leave, full attendance bonus, housing allowance, employee travel, snacks and afternoon tea, holiday benefits, year-end bonus, transportation allowance, free shuttle bus, stock option, free food, five insurances one gold"
42, Tianjin·Hedong District·Tianjin Station, 15-30K, Beijing Asia Control Technology Development..., Computer software does not require financing for 500-999 people, 3-5 years undergraduate, Backend development," Holiday benefits, year-end bonus, paid annual leave, five insurances and one housing fund, stock options, meal allowance, regular medical examination"
43, Shanghai·Changning District·Xianxia, 18-25K 14 salary, Zhongbo Zhiyun, Enterprise service angel round 20-99 people, 3-5 years undergraduate, QT,"Afternoon tea with snacks, year-end bonus, Daniel guidance, five social insurances and one housing fund, project rewards, stock options, holiday benefits, meal allowances"
44, Chengdu, 15-25K, Aerospace grand plan, Computer services have been listed for 1000-9999 people, 3-5 years undergraduate, OpenGL," Paid annual leave, employee travel, meal allowance, five social insurances and one housing fund, title subsidy, free shuttle"
45, Shanghai Putuo District Wuning, 9-14K·13 salary, Xinyi Technology, Computer software does not require financing for 500-999 people, 1-3 years undergraduate, data structure," Year-end bonus, six insurances and one housing fund, holiday benefits, regular physical examination, paid annual leave"
46, Shenzhen Nanshan District Nanshan Center, 25-45K, Zhuhai Cheetah, Internet does not require financing 100-499 people, 3-5 years undergraduate, Windows," Holiday benefits, free food, regular physical examination, free shuttle bus, year-end bonus, meal allowance, afternoon tea with snacks, housing allowance, five social insurances and one housing fund, supplementary medical insurance, paid annual leave"
47, Suzhou, 16-25K 15 salary, Looking for technology, Furniture/Appliances/Household C round 1000-9999 persons, 3-5 years undergraduate, robot,"Afternoon tea with snacks, regular physical examination, meal supplement, five insurances and one housing fund, supplementary medical insurance"
48, Beijing·Chaoyang District·Wangjing, 20-40K 14 salary, Heduo Technology, Computer software C round 100-499 people, 1-3 years undergraduate, data structure," Free shuttle bus, stock options, afternoon tea with snacks, year-end bonus, overtime allowance, supplementary medical insurance, regular physical examination, meal allowance, employee travel, paid annual leave, holiday benefits, five social insurances and one housing fund"
49, Wuhan, 20-40K, multibit, The game does not require financing 500-999 people, 5-10 years undergraduate, Game Engine," Paid annual leave, five insurances and one housing fund, year-end bonus, employee travel, gym, holiday benefits, regular team building activities, overtime allowance, transportation allowance, snack afternoon tea, regular medical examination, birthday benefits"
50, Wuhan·Hongshan District·Optics Valley, 20-40K, multibit, The game does not require financing 500-999 people, 5-10 years undergraduate, Game Engine,"Five social insurances and one housing fund, birthday benefits, holiday benefits, employee travel, paid annual leave, gym, snack afternoon tea, overtime allowance, transportation allowance, year-end bonus, regular physical examination, regular team building activities"
51, Dongguan·Nancheng Street·Nancheng, 15-30K, force and action, Instrumentation/Industrial Automation does not require financing for 20-99 people, 5-10 years undergraduate, data structure," Paid annual leave, year-end bonus, full attendance bonus, regular physical examination, transportation allowance, employee travel, five insurances, overtime allowance, snack afternoon tea, communication allowance"
52," Beijing, Haidian District, Zhongguancun", 30-60K 16 salary, Nine Senses, Internet Angel Wheel 20-99 people, 3-5 years undergraduate, Python," Meal allowance, housing allowance, five insurances and one housing fund, stock options, year-end bonus, afternoon tea with snacks"
53, Beijing Chaoyang District Jiuxian Bridge, 15-30K 14 salary, Wei collar, Computer software B round 100-499 people, 1-3 years undergraduate, Linux," Regular team building, five social insurances and one housing fund, regular physical examination, paid annual leave, meal allowance, holiday benefits, stock options, afternoon tea with snacks"
54, Beijing, 12-18K·13 Salary, Guoke Hengtong,Computer software unfinanced 100-499 people, 1-3 years undergraduate, SQL," Employee travel, communication subsidy, year-end bonus, holiday benefits, regular physical examination, five insurances and one housing fund, paid annual leave"
55, Suzhou·Xiangcheng District·Yuanhe, 40-70K, Momenta, Internet C round 500-999 people, 5-10 years undergraduate, Python,
56, Shanghai·Pudong New Area·Zhangjiang, 30-45K·14 salary, Pokéra, The game is not financed 20-99 people, 3-5 years undergraduate, Microservice Architecture," Regular physical examination, afternoon tea with snacks, five insurances and one housing fund, paid annual leave, employee travel, year-end bonus"
57, Xi'an Yanta District Fenglin Oasis, 20-25K, beijing beijing, Smart hardware does not require financing for 100-499 people, 1-3 years undergraduate, c++," Housing subsidy, transportation subsidy, supplementary medical insurance, communication subsidy, paid annual leave, five insurances and one housing fund, meal allowance, holiday benefits"
58, Guangzhou·Tianhe District·Tianhe Park, 20-30K, Guangzhou Heart Entertainment, Internet D round and above 500-999 people, 3-5 years undergraduate, Audio and video codec,"Attendance bonus, holiday benefits, regular physical examination, meal allowance, afternoon tea with snacks, transportation allowance, stock options, overtime allowance, paid annual leave, employee travel, double rest, five insurances and one housing fund, year-end bonus"
59, Wuhan · Jiangxia District · Canglong Island, 8-15K·15 salary, Wuhan Pulse Electronic Technology..., Electronics/semiconductor/integrated circuit A round 100-499 people, 1-3 years undergraduate, QT," Performance award, stock option, annual salary adjustment, meal allowance, overtime allowance, annual meeting, regular physical examination, paid annual leave, five insurances and one housing fund, excess dividends, transportation allowance, housing allowance, employee travel, holiday benefits, year-end bonus"
60, Wuxi, 15-20K 15 salary," Huaqin Technology Co., Ltd."," More than 10,000 people in the B round of intelligent hardware", 3-5 years undergraduate, c++," Employee travel, stock options, transportation subsidies, holiday benefits, year-end bonuses, supplementary medical insurance, five social insurances and one housing fund, regular medical examinations, meal allowances, paid annual leave"
61, Chongqing·Yuzhong District·Daping, 15-16K, Terminus United, Internet 1000-9999 people, 3-5 years undergraduate, Linux," Regular physical examination, meal allowance, paid annual leave, five insurances and one housing fund"
62,Xi'an, 15-20K, Maorong, Instrumentation/Industrial Automation does not require financing for 20-99 people, 3-5 years undergraduate, Socket technology," Holiday benefits, year-end bonuses, paid annual leave, overtime allowances, business trips, and birthday benefits"
63, Beijing·Haidian District·Suzhou Street, 11-22K·13 Salary, Chuangqi Vision, Computer software unfinanced 20-99 people, Unlimited undergraduate experience, c++," Regular physical examination, year-end bonus, full attendance bonus, paid annual leave, meal allowance, employee travel, holiday benefits, overtime allowance, five social insurances and one housing fund"
64, Shanghai·Pudong New Area·Zhangjiang, 10-15K, Chuyun Technology, Mechanical equipment / electromechanical / heavy industry A round 20-99 people, 1-3 years undergraduate, Multithreading," Afternoon tea with snacks, housing allowance, holiday benefits, year-end bonus, meal allowance, stock option, overtime allowance, employee travel, regular medical examination, paid annual leave, five insurances and one housing fund"
65, Shenzhen·Nanshan District·Science and Technology Park, 20-35K, Shenzhen Skylife, Mobile Internet has been listed 500-999 people, 3-5 years undergraduate, data structure,"Year-end bonus, afternoon tea with snacks, supplementary medical insurance, transportation allowance, overtime allowance, paid annual leave, regular medical examination, holiday benefits, communication allowance, employee travel, stock option, meal allowance"
66," Dalian, Ganjingzi District, South China", 6-11K, Chuangle children's programming, Training institutions do not need to finance 20-99 people, Unlimited undergraduate experience, c++," Five social insurances and one housing fund, year-end bonus, holiday benefits, afternoon tea with snacks, regular physical examination, communication subsidy, transportation subsidy"
67, Guangzhou Baiyun District Jianggao, 10-15K·13 Salary, DSP, Computer software does not require financing 1000-9999 people, 3-5 years undergraduate, QT," Employee travel, full attendance award, holiday benefits, afternoon tea with snacks, meal allowance, free food, supplementary medical insurance, regular physical examination, communication allowance, housing allowance, transportation allowance, paid annual leave, five insurances and one housing fund, year-end bonus"
68," Beijing, Chaoyang District, Jiangtai Road", 15-27K, Dawa Future, Computer software unfinanced 100-499 people, 1-3 years undergraduate, Socket technology," Five insurances and one housing fund, paid annual leave"
69, Shanghai·Pudong New Area·Zhangjiang, 7-12K·13 salary,Baohong Software, Computer software does not require financing for 100-499 people, Experience is not limited to college, c++," Paid annual leave, regular physical examination, holiday benefits, five insurances and one housing fund"
70, Beijing Chaoyang District Jiuxian Bridge, 25-50K 14 salary, Wei collar, Computer software B round 100-499 people, 5-10 years undergraduate, Windows," Paid annual leave, regular physical examination, holiday benefits, afternoon tea with snacks, meal supplements, regular team building, stock options, five insurances and one housing fund"
71, Beijing · Shunyi District · Houshayu, 30-60K 15 salary, Didi Chuxing, Mobile Internet D round and above 1000-9999 people, 5-10 years undergraduate, distributed technology," Paid annual leave, five insurances and one housing fund, transportation allowance, regular physical examination, supplementary medical insurance, stock options, free shuttle bus, holiday benefits, afternoon tea with snacks, year-end bonus"
72, Hangzhou·Yuhang District·Wuchang, 15-19K, Beyondsoft," Computer software has been listed for more than 10,000 people", 3-5 years junior college, multi-Progress," Paid annual leave, year-end bonus, regular physical examination, five insurances and one housing fund, holiday benefits, free shuttle"
73," Beijing, Haidian District, Northwest Wang", 12-17K,Wuhan Baijuncheng Technology, Computer software does not require financing 1000-9999 people, 1-3 years college, c++," Holiday benefits, paid annual leave, supplementary medical insurance, five social insurances and one housing fund, regular physical examination"
74, Beijing·Haidian District·Xishan, 15-28K, Beijing Trustworthy Huatai Information..., Information security does not require financing 100-499 people, 3-5 years undergraduate, Network protocol," Free shuttle bus, paid annual leave, high temperature subsidy, year-end bonus, supplementary medical insurance, regular physical examination, overtime allowance, meal allowance, holiday benefits, five insurances and one housing fund"
75, Shenzhen·Nanshan District·Science and Technology Park, 18-35K, Subin Industry, Enterprise service unfinanced 20-99 people, 3-5 years junior college, network programming," Holiday benefits, year-end bonus, afternoon tea with snacks, five social insurances and one housing fund, paid annual leave"
76, Shanghai · Jiading District · Anting, 30-45K 15 salary, Amphora, Consult 0-20 people, Unlimited undergraduate experience, c++,
77, Beijing·Chaoyang District·Wangjing, 11-20K·13 Salary, Weidong Technology, Music/Video/Reading does not require financing 100-499 people, 1-3 years undergraduate, QT,"Five insurances and one housing fund, year-end bonus, paid annual leave, regular physical examination, meal allowance, holiday benefits"
78, Hangzhou, 13-26K, iSoftStone," Computer software has been listed for more than 10,000 people", Unlimited undergraduate experience, Linux," Overtime allowance, transportation allowance, five insurances and one housing fund, free shuttle bus, holiday benefits, regular physical examination, team building activities, paid annual leave, afternoon tea with snacks"
79, Nanjing·Yuhuatai District·Tiexin Bridge, 15-30K, Thundersoft, Computer software has been listed 1000-9999 people, 1-3 years undergraduate, Embedded Technology," Five insurances and one housing fund, meal allowance, year-end bonus, regular physical examination, full attendance bonus, holiday benefits, employee travel, paid annual leave, overtime allowance, housing allowance, transportation allowance, stock options"
80," Beijing, Haidian District, Zhongguancun", 18-25K 14 salary, Matrix Intelligence, Enterprise service A round 20-99 people, 1-3 years undergraduate, data structure," Stock options, employee travel, five insurances and one housing fund, paid annual leave, transportation allowance, meal allowance, snack afternoon tea, housing allowance, holiday benefits, year-end bonus, regular medical examination"
81, Shenzhen Nanshan District Nantou,15-30K 13 salary, Easy Adel Wisdom, Intelligent hardware angel wheel 20-99 people, 1-3 years undergraduate, c++," Year-end bonus, five social insurances and one housing fund, employee travel, paid annual leave, attendance bonus, regular physical examination, stock options"
82, Guangzhou·Huangpu District·Science City, 15-25K 13 salary, Radium Morning, Smart hardware unfinanced 100-499 people, Unlimited undergraduate experience, Python," Paid annual leave, food package, five insurances and one housing fund, employee travel, free shuttle bus, regular medical examination, holiday benefits, communication subsidies"
83, Suzhou·Kunshan·Yushan, 15-25K, Teststar, Electronics/semiconductor/integrated circuit B round 100-499 people, 3-5 years undergraduate, c++," Paid annual leave, full attendance bonus, food package, employee travel, year-end bonus, regular physical examination, five insurances and one housing fund, overtime allowance, holiday benefits, stock options"
84, Shanghai·Pudong New Area·Zhangjiang, 25-45K, Guoyin Intelligence, Internet B round 100-499 people, 3-5 years Master, data structure," Paid annual leave, afternoon tea with snacks, five insurances and one housing fund, holiday benefits, year-end bonuses, team building funds, meal allowances, regular physical examinations"
85,Beijing·Chaoyang District·Dawang Road, 30-60K, Alibaba Group," More than 10,000 people have been listed on the Internet", 3-5 years undergraduate, c++," Transportation allowance, year-end bonus, holiday benefits, five social insurances and one housing fund, afternoon tea with snacks, meal allowance, supplementary medical insurance, employee travel, stock options, free shuttle"
86, Shanghai · Jiading District · Anting, 15-30K, Lianqun, Internet does not require financing 100-499 people, 3-5 years undergraduate, Python," Meal allowance, communication allowance, holiday benefits, transportation allowance, stock options, year-end bonus, paid annual leave, five social insurances and one housing fund, snacks, afternoon tea, employee travel"
87, Hangzhou·Yuhang District·Wuchang, 20-30K, Lipper, Communication/Network Equipment B round 100-499 people, 5-10 years undergraduate, c++," Afternoon tea with snacks, holiday benefits, employee travel, year-end bonus, paid annual leave, five insurances and one housing fund, overtime allowance, regular medical examination, free shuttle bus"
88, Hangzhou·Gongshu District·Chengxi Intime City, 15-25K 13 salary, Meichuang Technology, Information Security D round and above 500-999 people, 3-5 years undergraduate, Linux,"Stock options, paid annual leave, employee travel, supplementary medical insurance, regular physical examination, five insurances and one housing fund, year-end bonus"
89, Qingdao·Shibei District·CBD, 150-200 yuan/day, Xinzhong Technology, Computer software unfinanced 20-99 people, 6 days/week 6 months junior college, Lua,
90, Nanjing·Pukou District·Yanjiang, 8-13K, Aerospace One System, Computer software does not require financing for 100-499 people, 1-3 years undergraduate, c++," Five social insurances and one housing fund, holiday benefits, meal allowances, regular physical examinations, communication allowances, year-end bonuses, transportation allowances"
91, Shenzhen·Nanshan District·Science and Technology Park, 30-60K, Tencent," The Internet does not need to finance more than 10,000 people", 5-10 years undergraduate, c++," Supplementary medical insurance, housing allowance, free breakfast and dinner, regular physical examination, afternoon tea with snacks, five social insurances and one housing fund, free gym, meal allowance, activities around dolls, festival benefits, transportation allowance, employee travel, paid annual leave, stock options, free Shuttle bus, food package, year-end bonus"
92, Beijing Chaoyang District Jianxiang Bridge, 25-50K 14 salary," Jingdong Century Trading Co., Ltd.","More than 10,000 people have been listed on the Internet", 3-5 years undergraduate, Linux," Meal supplement, regular physical examination, supplementary medical insurance, five insurances and one housing fund, attendance bonus, year-end bonus"
93, Shenzhen·Baoan District·Shiyan, 20-30K, Hesi Technology, Computer software A round 20-99 people, 1-3 years undergraduate, graphic image processing," Paid annual leave, holiday benefits, afternoon tea with snacks, five social insurances and one housing fund, stock options, regular medical examination, free shuttle"
94, Xiamen·Huli District·Wanda Plaza, 12-24K·13 Salary, The world is smooth, E-commerce 20-99 people, 3-5 years of education is not limited, c++,
95, Shanghai·Huangpu District·The Bund, 20-25K 13 salary, Di Fei, Internet finance 20-99 people, 1-3 years undergraduate, Backend development," Great working environment, stock options, paid annual leave, afternoon tea with snacks, five social insurances and one housing fund, year-end bonus"
96, Hangzhou·Binjiang District·Binjiang Baolong City, 15-30K, Nokia Zhejiang Branch," Communication/network equipment has been listed for more than 10,000 people", 3-5 years undergraduate, software engineer,"Afternoon tea with snacks, transportation allowance, employee travel, supplementary medical insurance, overtime allowance, holiday benefits, communication allowance, five social insurances and one housing fund, regular physical examination, paid annual leave, meal allowance, year-end bonus"
97, Beijing · Shijingshan District · Ancient City, 15-30K, Beijing Aobo, Raw materials and processing/mold 20-99 people, 1-3 years undergraduate, QT," Afternoon tea with snacks, five insurances and one housing fund, meal allowance, year-end bonus"
98, Nanjing·Pukou District·Jiangpu, 20-40K, Xinxingji, Electronics/semiconductor/integrated circuit A round 100-499 people, 5-10 years undergraduate, Linux," Supplementary medical insurance, child benefits, meal allowance, five social insurances and one housing fund, communication allowance, employee travel, afternoon tea with snacks, year-end bonus, paid annual leave, regular medical examination, transportation allowance"
99, Beijing, 20-40K 14 salary, Heduo Technology, Computer software C round 100-499 people, 1-3 years undergraduate, c++," Stock options, paid annual leave, meal allowance, overtime allowance, afternoon tea with snacks, employee travel, regular physical examination, free shuttle bus, year-end bonus, five social insurances and one housing fund, supplementary medical insurance, holiday benefits"
100, Shenzhen · Longgang District · Bantian,12-24K 15 salary, promising, Communication/Network Equipment 100-499, 3-5 years undergraduate, Embedded Technology,
101," Beijing, Haidian District, Shangdi", 30-60K 14 salary, Weibo, 1000-9999 people have been listed on the Internet, 3-5 years undergraduate, Server-side development," Paid annual leave, supplementary medical insurance, regular physical examination, holiday benefits, free shuttle bus, meal allowance, year-end bonus, five insurances and one housing fund"
